 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10660                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -51.0395850000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                3.478000000000000E-002                                       YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10515                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -49.9846860000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.153147000000000                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10505                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.4897760000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.474400000000000E-002                                      YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10625                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -51.6996480000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.801000000000000                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10540                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.8283330000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -0.246667000000000                                           YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10549                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.8201450000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.00410400000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                10577                                                        YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -50.9107690000000                                            YES
